author,count(followers)
ALEXWARNINGU,92
ALIDANILOVSKAYA,2
AMIISTRS,816
AMYYSSTS,3
ANNIEPOSHES,3044
AMELINAASTR,834
BERLINBOTE,19748
ANDRREETRT,550
ADRGREERR,1897
AGAFONME,294
BERNDHOFER6001,249
ADLEESWOD,6
BALASIKAVOW,37
ANGELIKAMUSI,484
BECHTEREVMIH,458
ANGELINALADOVA,483
ANWARGAFUR,3
AN_NA__AN,13
ARSENI_ROMAN,359
ANASTASSIAZZ,791
BEREHAYYTR,480
ALEXHARRITONOV,2332
ANNETTETEAL1,3
ARKADSHIHKIN,37
AVEREGEANNA,83
BLACKEYEBLOG,1666
AYDENBOSTON,23
AMBERRPAR,1231
BENDER_MEL,77
BERNIEDDDD,26
ALINA_9_1,758
ANNAMARFINA,14
BEZUMOVALYUDA,512
BISHOLORINE,117
ANTONFROMSPB,547
ASSUNCAOWALLAS,108
ALLAHOMORE,465
AMCONVOICE,370
AMIYAHSAMUELS,181
ANAALESSIS,1411
AHMADYOUSEF23,9
AZUUMARSS,1400
AMALIA_PETTY,86
AYLEENSCLAR,486
ALFNEWDAY,2
ANTOSHAKARGIN,407
ANDYHASHTAGGER,9294
APRIILDTRUT,5
BEELLASTRTT,6
ABOUTPOLIT,72
ABRAMSREBEKAH,24
ALEXLOVESSHENNA,24
AU_NORTON,1
ACEJINEV,6260
AGATA_ALEXEEVA,570
ANDRY_VOLK,48
BARBIELEWISS,11
ACHSAHORKHAN,5
BADAEVVIKTOR,629
BARRY_MILL,12
BETTIEEVANZ,181
BLACKTOLIVE,6205
666STEVEROGERS,139
AGAINUKRFAKE,3
ANN1EMCCONNELL,125
AGNESMLTRT,3
ANGELISTRR,255
ANNA_VYSOKAYA,480
BACONTONIA,12
BALTIMORE0NLINE,10331
BEINGSWARTZ,50
ALINAANTONCHIK,14
AURRLISTR,1199
ACAB_ZONE,279
ANDREASEULITZ,205
ANWARJAMIL22,113
BEKKOSV,12
BIGBOYJASIAH,2660
BLEEPTHEPOLICE,9342
ABBASSHUKRI,1
ADELINE_GS,27
ALISA_FRATKINA,487
AMBERDAVV,7
AARONALLENALL,18
ANNAROMAN0,3227
ARTEM_POLISHHUK,47
BEGAYEVANGELINE,11
ANDSBXX30,10
ARONHOLDEN8,120
ALBERTA_HAYNESS,101
BLINOVAEXININTA,375
ALBELITATRTS,6
BENNEDICT_KL,46
ANDRISNABRT,820
ANTHONYCANLASS,26
ARTAUTUMN,40
ASHLEYSIMPSN,90
1LORENAFAVA1,3051
AMYYSLEGENTR,1219
ANNAMINGT,1146
AUSTINLOVESBEER,403
BLACKJACKWEINER,212
ABELLABAB,40
AZIIZ_HADITH,4
ALESSIAWILLSON,36
ALTMANBELINDA,139
ANBIVALENTNAYA,433
ANZGRI,1993
BABYJANNYMEOW,3267
ANDIOSMARRTRUMP,1445
BLK_VOICE,89
2NDHALFONION,3
AGITPOLK,382
BECCYWILL,132
BLADNAVALNY,3
ADAMMA_DEFOND,700
ANGEELISTR,936
ANNIJONSTR,581
ASHLEECOLLINSS,39
BLANDERSHOF,232
ALW_ILL,43
ANISILOPE,881
ARESTOVEVG,491
ARIAANST,209
4MYSQUAD,4839
ALISONDAVOL,500
BARABASHV2,595
