author,count(followers)
DONNIE_HERO_,38
DORARATCHET,83
FUNAT1C,62
ELIZEESTR,11250
EVANS_TAB,158
DOLLAROVMSK,623
EXQUOTE,59652
DANNIILST,3
DROBOTOVAZ,576
ETTA_JHNS,40
FROLDARIA,481
DARCYYSTR,2116
EVERIIAST,718
FEYMIIRA,965
DREEEEW1HUDS,17
EAECTODAY,160
ERNESTINEEALVAR,26
EROFEENKOANTON,1625
DEUSXYX,2395
EMMETTMTH,157
ELPASOTOPNEWS,4402
EROHOVA_K,512
ERRIVVVVERS,6090
DELORESP00LE,63
EDYARDSERG,34
DOYRANDO,196
EGORSAEV,22
DOLPHINVENUS,473
ELLAWONDERGIRL,61
FASTLIVE_5,416
DONTSHOOTCOM,808
DANNYTHEHAPPIES,2706
ELLEONORAAGEEVA,492
EGORBUTEN,91
DP_TROVSKY,9
ETOMOYOIMYA,40
DARKTANK1992,34
DJVIBELOZEROV,45
EGORUSSHKA,551
ELINSSTR,4350
ERASTOVARTHUR,434
FIGHTM_D_B,945
DIMAN__DIMA,26
FIONA__ONA,1238
FLOYDSWENSON555,295
DUSTINCOOOL,53
ELMA_ELMAMA,210
DINADONA69,455
DMITRIBELOV12,32
EAZON_TRAP,107
EMMA_KVN,1309
DEMIDOVDMITRII,676
DOMINIKKELLER22,374
DURTYTULIP,537
DANTE_FISH,12
DROBYOSYA,201
EDMUNDRJR,554
DEELOCKMAN,15
DESERTQUEENOH,238
ELISEEVA_TAN,197
FACEMECHASE,55
ESTERBRIANG,37
EALADDINS,1
DOMINICVALENT,4397
FIGHTCONSTANTA,543
ELIANLINDSEY,2017
ELMERWAYNEE,16
FEDORKRIUCHKOV,35
FRIEDADAISY,30
DAM0NSPENCER,59
ELLISHARM0N,153
ERICBEBERG,70
DMITREVASILIEV,231
DANNY_TURNER_1,685
EWYOPLAY,444
DYBAIGWEN,207
ERVIN_ALFORD,1
DAVYDOFF15,323
DOROTHIEBELL,3735
FREEJEROMESMITH,2
EGOROV_DIMC,42
FIGHTCLUBLEGION,2
EGOR_GLUMOV_,124
DER_RICKA,34
EBLASHEVO,372
EMELDDTRS,1128
EVGENIYYVOROBEV,35
DEBORRTH,1465
FFARDD,500
D_ANDRE_AUSTIN_,46
DANIILALEKSAND6,31
DARISHALEBEDEVA,31
EPISHINAKATE,573
DALLASTOPNEWS,10092
DONETSKNOVOSTI,4253
FISCHERMARIA933,361
DEBORAH_NORRIS_,73
FANNIEBRADLEY88,85
DEN_DZEN,61
DEVINEDEVINBR,1904
DNT_SHOOT,13
DUBOSEBELIKE,1
EVEGREENE88,10
DANNYMASLOV,777
ELITHKURY,151
EREMEEV_OLEG_,53
FAIRYMINKY,134
DARNELLMATHISS,4
DANA_GARNER_ME,61
DELVECCHIOJ1,5
DEON_LIEW,1
DMITRIEV_IR,2
ERIKADIXONLOVE,15
ERICHUMMELL,40
DMITR_VIC,9
FEDOTOVAROZA,210
DAMANIMILES,1681
DAVBOYD_,466
DIGESTLJ,231
ELISAAGREG,24
EGOROVSDESIGN,480
DINGDONPARKER,535
DARRELL_H_HUNT,10
DIAMONDSL0VEME,119
EVGEN_BBB,144
FISHERRRCALEB,48
DAN_J_SHAFFER,9
DASHACAO,539
EGOROVALEKSS,539
FREMONTHENRII,20
FLAGFLANAGAN,11
DUNNOWHOWANNABE,43
DIETER_PORT,161
DOUGGIEMAESTAS,50
ELBERTBOOM,2
DIMITRI_LEBEDEV,423
EVGENIINIKON,323
FORCEOFLIBERTY,310
DMITRO_GONDAR,33
FORUMSTRATEGOV,169
DOMM_CLAYTON,3
DANIELLETAWN,18
EMILYLOUNGE,970
EMMYBAMBI,176
EVANNGHARTR,5492
FILATOVALECHOSL,1194
FUNDDIET,20192
EVGENPAPER,282
DENNIUSHAK,561
DOROCHEVIZ,6
ERTMANGRETA,142
FROLFROLDI,18
DENISEDENNDEN,6
EURYNMCCOLLEY,290
FILINLEONID,23
DAVSICHE,15
EVERYDAYHOKKU,1
DENN_NIKITIN,6985
EMILLLYSTRU,152
EVANNOTMCGREGOR,70
FREEDISCUSS,757
DATWISENIGGA,5598
DEN_SHEFRAN,32
EVTUSHENKOMIXEI,30
DOLGVLAD,38
ERDOLLUM,2625
FAKEVIDEO17,2
DEBBSFARRELL,123
DYATLOFFPINATEL,439
EMMABAHVAL,498
ERDOLLUM666,752
FHILPRIL,20
FOMINAIMINILGE1,362
EDDIEALONZ0,223
EDMUNDC0OKE,719
DRESDENBOTE,2151
DRGREGORYWEST,194
ECHOPARADNOY,1
FISHALEXANDERR,321
DI_MC_SOLOV,29
DUESSELDORFBOTE,194
DEGTYARDEGTYAR,13
ESSYKRAC,12
DAN_SEL_LERS,12
ESAYL_ININ,101
ELENSOMOVA,491
EGERMANS,20
ESSIEBAILEY_,77
DUUUUUUUUUK,498
FEYYLOGAYYLO,41
DETROITDAILYNEW,14115
ELLISSTRT,4
DIEZZZ_,8
DALLAS4COPS,2
DELINKA2014,501
DONNIELMILLER,2413
DORSOR077,509
FARISMAHMOUD22,93
DEANNAMOY,402
FRANKFURTBOTE,3706
FREDYTHECREATOR,37
DUMBTADUMB,488
ELENKOLMOGOROVA,491
DUTISITE,1002
EVGENISHENKO,23
DONATELLOJACK,105
DONNABRIVERA,3298
EMILEEWAREN,5079
FRANCESCAVAND,145
DICKYIRWIN,3259
FINLEY1589,4658
DONALDOUCH,57
DURADURNOVA,480
EVGENIYYMIROSH1,28
DAVYDOVAZH,545
DD_MERR,116
DELFALARUS,483
DOBRIYEGOR,3
ELLASTRS,4027
EMMAJACKT,1488
DEMENKOVAAAA,541
DMITR_MIRONOV,253
DANAGEEZUS,12841
FLISSFLOWERS,19
FUUNCAKE,27
DEBRA_STERN_,124
DIMAROSCOE,486
DISNEYTV_RU,555
F_HANKARD,1
EBECKCOBLE,475
ERICKWALTT,5
FINDDIET,29038
DANAKATALIMOVA,31
DANISSTRS,6222
FRANNERVIA,1647
FREIDA_HW,54
DEL_MCQUARRIE,34
EINSOLL,498
FUKKKKHERR,49
EFFYCAVIN,440
EUGENELLLL,500
FEDOTOVVAS,39
DANYBORISOV,462
EDLEYIMOGENE,3
FRANCESCADIAM,34
DEVYATKOF,36
EUGNBALYASIN,17
EGOROVGRANIGINE,242
DEVIN_YAT,45
DWIGHTB0ND,24
FUNKY_KAY1,43
DORTHYSHARRER,211
FEELLMORE,16
DONNIMUSIL,88
ELIZAVETA_BOLDA,453
FEDOR_BELOVODOV,428
FINNAGLO,1527
DALTONWOOD14,252
DZHABIRZAHAB,134
EVBOWMAN,183
FRANCLANDEROS,10
EREMINKIRYUSHA,45
DARLENEKING_,79
DEREKDEREKCL,33
ERNASHEPHARD,62
DUMOVAELVIRA,511
DASHUSTIK3,457
DAUMOA,136
DENIS_KOLESO,42
DANBR00KS,72
DAPNESSTR,2448
DASHING10TH,420
EDWARDBROBERTS,930
ERMASHOVA90,968
ERICARUTTER,2774
FILIPPGRIGOR,561
DOBRE_DENN,26
ERICAANDSSN,5
EROVINKOLORAD,326
D_A_S_H_AAA,1152
EHERMANN66,300
EVAGREEN69,2789
EVEWEBSTER373,1110
FIGHTTORESIST,672
ETOYAGRISHA,447
DALIKWESHA,77
EGOR_LOLOLO,524
EKATERINA_FROL,17
DOMNICEV,546
FAMEONYOUBITCH,3314
ELIASAKAPARKER,7
STLOUISONLINE,12707
TOMAS_DANE,23
TYLERBOYERR,119
TARAFORMA,3
TIPAMUTKO,5
TPARTYNEWS,1843
YALANSKY_D,33
VELICKAYAYEKAT,10
THETRAINGUY13,284
TREBITOVA,31
VANNYGREER,203
VASYADOBRIY,33
VARVARA_KABANOV,155
VARVARA_ALL,443
WORLDOFHASHTAGS,23724
WWORNPATH,6
TAMI8569,80
TOLIK_SATAN,511
VENGEROVAA,15
VALYAMOOR,496
WHATSUPPPADAMS,8
THELMMISB,2768
WATSONTAYTAY,10
STEPEFIMOV,10
TWNAIDENYSH,22
WADEBINTOU,31
STEPA_HARD,48
VIKAGOGOGO,493
STO_CHRISTI,148
TTTANYATT,480
TAISIAAVDEEVA,1297
VIKAHOLIDAYS,522
STOLZKRISTINA,246
VLADIMIR_CMIRNO,79
VIRGILSSMITH,122
SUTTON_TWEET,47
TODAYCLEVELAND,11006
STEPANSAZONO,1332
TAGIRHASAVI,9
TAMAFLAN,25
STINSON_SS,145
WINST_MARTIN,29
V_VASILEVNA,79
WILLIE_BIGN,43
STROKINOVI,299
TRUENAVALNY,2
SVETADUBOOO,499
T0NYACRAWFORD,47
TRACEYHAPPYMOM,4615
TABACHIM,505
TODAYINSYRIA,15401
VARVARAGRNVA,486
YAH_MALINA,79
TAZIST,15
TOGANSHIN,10
VEDENSKIYARTEM,361
WECONQUERWORLD,19
VALERADEMCHYK,453
UNICORNRAINBWS,495
VALEYINA_DM,6323
YLLIA0,30
YAROSLAVVELIKY,138
TYPICALMURICA,34
VALERYABERESTEV,470
VLADIMIRKORZ,580
VYSEKII1,597
SUSUBERGERR,244
TOLLIVERSTEPH,180
TOURETTESN,58
VLADALVANOVA,57
WHITEHOUSECARDS,2088
VARVARDUB,493
SUNSANB,165
V_BAKULIN,107
WOKEFROMDAY1,1424
TAISIYA_C,1055
TODAYBOSTONMA,6595
TRINITTXS,3
VANESSA_A_LOTT,107
VATKISA,397
VOLODINART,495
YAELTROUBLE,706
TATIANAMAXTV,57
VALERABAY,19
TRAVISRESPEK,1706
YANAGREBEN,453
VLASOV_YA_,45
THEGRANDTAYLOR,13
TINATKURTZ1222,272
WALTER_HEY,31
STOPBRUTAL,95
TEDCOOLASHELL,8
THOMAS_GERSTER,599
TX_INDEPENDENCE,18
USA_GUNSLINGER,3246
VESTNIKKLNNGRD,42
VAGANOVASLAVA,482
VALERONADUEV,353
WASHINGTONLINE,11768
VIADSNTR,6
VLADAGUSKOVA,502
WILLISBONNERR,5027
WONDERHANN,433
VOLTSTERN,53
V_DANCHICOV,69
WAZEME_ZINA,3
TA_M_A_RKA,1139
TIMOSHA_SUPER,907
YOUJUSTCTRLC,3651
THEFOUNDINGSON,8863
TOPSECRET_LADY,475
VICTOR_SAMSONOF,67
VKOSYREVA,1
VARGINSLAVA,27
SVETIKALL,535
TIMOHAAGAFONOV,474
TODAYCINCINNATI,11761
ULIABELUSHIVA,337
TEMA_KORSAKOV,502
VITAEGOROV,515
THEOVYAZGIN,44
STYLEBYALLA,1832
WAYNE_DRAKE_,978
VAINORUSSIA,98
TEMA_ARTEMA_,18
TESS_SNIDER,1033
TI_MIRONOV,26
WHOCARES423,52
VAKULENKOVASS,523
VAZHANKOV,508
VVARLAMOVV,22
TANZILSAID,3
WATCHMEWALKIN,8206
SUPPORTRUTH,48
YATTVRUSSIA,212
TAN_BRAY,37
TARASVAVILOV,51
TURANGALA,14
STEPSTEP_HEN,96
TEN_GOP,11341
WADEHARRIOT,6080
TEBEPIZDEC,2
THEPLASTIC_AGE,3367
TIBUFOFAMAC,640
STOPIGRA10,32
TRUSBALBES,46
VITYAGRUSHIN,8
SUDJQERO,12
SVETZVEZDABALET,519
VIKATIRANOVA,496
SYLVIELEFEVRIER,23
TOLKO_ANATOLKO,15
TVOYAMAMKA1990,67
TONYLYNNNNN,92
WARRIORS_AZTLAN,74
TERESA_BOY_LE,122
SUICENCHANTRESS,2209
VARVARA_KOP,5
VITALIJBASIXIN,172
VESTIZAKHAROVA,825
TT__NORTON,81
THUERINGENBOTE,2092
TOVANOVPETR1,3
VESTNIKTULA,1237
VASILIEVANT,495
VIACHIKZUEV,273
VIKUS1992,31
TARAN_ANDREYY,43
TAYYSSTRUT,6
UNIKORNPOPCORN,224
TEZAHAROV,1281
VIOLAASTRT,5
VLADIMIRVORONO,174
UTROBINACAESERR,241
VUNONA,12
TRANSSPBGPU,513
VOVAMERKUSH,58
VALENTINKAMAEV,503
VATNITSA,69
VVERAYAKOVLEVA,495
THELONELIESTDAY,1121
VLADISLAV_1986,29
VOROSHILOV_OLEG,457
VEROSANRRT,2140
TRUENEUTRAL0,18
SVETIK_ALL,490
TIZEFAKIPAD,30
VESTNIKPSKOV,177
VICKIEBARBAR,163
TERRIISTOOGOOD,78
TYLERBUCKBUCK,18
VARYAGKREYSER,129
VICKYLOVELYG,93
WESTERNWINDWES,2085
WILLIETHELION,114
SUMMERHANDY,179
SVETAMERCURY,475
WIKAVECYKEKO,465
VOROBEVANADYA,489
STUTTGART_BOTE,2953
TODAYNYCITY,18534
WARRENPORT,1
STRATPLANRU,11
WILLIAMS_DIANA_,177
STERRSAM,1
TONY_MAY_,4
XDWILLIE,421
UMARKHALED05,14
VASILFAITH,565
SUSANPETERSON_,19
SWEETKERRY54,120
TZENIWURAOLA,11
VANWHITEBIRCHN,24
YA_YARIK_,48
STWAGNERARIANA,174
TESSSFINN,51
TAYLOR_PARKSY,91
TEDCHOCKHOLDER,5
VASHURKINMICH,563
VIKAZOTOVAA,99
VITTOREGUIDI,2408
STERNANDREAS404,497
WILLJOHNYOLO,78
VAL_ZOL,2234
VESTIMINSK,109
VIKTOR_LAVREN,879
VLD_AM,11
TAANIYA99,457
VESTNIKPTRZVDSK,25
VA_BLACKNEWS,262
TIMBELOZERTCEV,11
WILEYWORKOUT,60
TONEPORTER,1807
VIZYDYREGUJI,18
WILLIAMS8KALVIN,1063
YKUDAJ681,523
SVETLANKAZZZZZ,551
VLADEVLANIN,29
SYLVIE1FREEMAN,7
VIKA_BERE,2
TEODOR_FM_,55
VESTNIKGROZNIY,1175
VIKAIVANOVASA,129
VITAREDHAIR,520
STEPASOBOLEV,154
T0NY_0BRIEN,59
TERRANCEPATIENT,37
TAMMY_TAMH,198
VADMMM,539
VICTORIAMAXIMUS,8
TWI_AZERNIKOV,561
THAASLITT,6
TEDSANDERSS,7
TONYWILLDO,11
UBERGAR,15
ULRIKEMCKINSEY,118
VORON_MIH,13
VOVANABRAMKIN,32
WARFAREWW,3219
TRAYNESHACOLE,7846
T0NYASINCLAIR,790
VINZEYUSS,2
TARAFORMATION,364
VASILICHVASILI,2217
WORLDNEWSPOLI,36974
STRICTGRACE,92
STEPHANIETHEJAD,18
TESSYELMORE,1274
TODAYMIAMI,14081
TODAYPITTSBURGH,33602
VLADGUROVV,39
VLADISLAV_POM,21
TIMBORVICKY,36
TOMMYWATTSSS,56
VYSEKII,34
TARASTWEETOR,520
VOROVSKYY,35
WEWANTFREEDOMNY,44
WILDHAREE,557
VIRENDRA_COFFIN,42
THEMANMACHINE17,406
VOROBUCHEK_,11
VIBORISOVA,1225
VLENELENAV,10
WERNERBOCH,107
WILLLLIBROWN,21
TRYTOFINDITOUT,1098
TTLENLEN,2829
VIKAKLYBNIKA_,507
TERRYBEVER_LY,75
VERRELLPORTIER,19
VALENTINYAKUSH,38
VERNIGOROVAN1,535
YOLOBUHURTO,24
VICTORIAMAX45,2
STSPEROV,12
VALENSIJ_,514
WOKELUISA,2295
VICKYROOOY,84
WHOISWHO_ORG,412
SUSAYUNG,1060
VAS_MORDVIN,25
VASKASHELEST,566
VLAD0ALEKSEEV,29
VODNIIKRASNOV,23
TRISTAN_RICHMAN,12
TRIBUNAONLINE24,4496
URSULA_HEIM,216
VITALYIDERBENEV,626
VITANOSOVA,11
VLADA_POLLO,1361
STAYWOKE88,5539
SVETLANALESHKOV,607
ROSTSERGEEV,31
POLITROS_COM,833
SHIELDSCLINT,106
SECONDSON6969,27
SERHIODABEST,34
RADUGKATE,388
SLAVOSLOV,34
RH0LBR00K,6296
SPBSPORT,940
STARCEV_SERGEY,7
PRIBYSHIN,1
P_U_S_T_O_T_A,499
RAGLAND_LAND,41
ROBERTEBONYKING,7199
ROMANBALUHIN,132
RYAN_BET,47
SPARKSDANS,4
SLAVABULATOV,33
SSABRINAHUH,206
SEMI_ZOO,192
RAYLEENNEELAM,2
PUTINTSEVACUVAS,225
ROZGALRIMA,462
SECRETREPORTT,23
RRIROSE,806
SERGEIVCHENKO,567
PONOMAREVSLAV,1586
SHARAPOVTERCTIL,268
PROSTO_NEPROST,16
POLITWEECS,4257
SERGEYAVDAEV,266
SKYYLASRRT,3
RHODYROLLIN,72
ROBYNMELVOIN1,3
RUS_IN_USA,702
RIKKIRI1,4
RITTERTRA,43
SASHA_BEREZHNOY,421
SEREESSTT,17
RUSSIANALLIES,5483
PPOGRESSEO,496
PORTMELA,876
RAJAMANICKAMDA2,64
RENALDOKYROU,23
ROGOVILIA,1045
SEMENOVTOSHA,38
ROSSHELLYEAH,97
SERAFIMASTAR,570
REGKAGANOVA,499
SEREGAKAVERIN,445
PUSHA_072,566
ROCKINMAFAME,5
SCOTTRAPWALTON,19
SOFIATACKLES,51
RIAFANRU,22886
RICHRIC_RICHARD,108
PUDDIN_LETO,2302
REACHITDOIT,818
SERGEEVICH_ART,186
SONJAANDBRIDGES,12
RAMVANWAGE,18
SAIFFFOUAD,13
POLIT_OBSERVER,93
ROBYNRHODE,35
SAMCHATMANNN,48
SPEARMINTME,482
POLOVINCA,446
RITACLOPP,225
ROMANOVAGEOPRUD,213
SOLANO_KI,114
SONDERKATHARINA,471
RUSSIANMONSTER7,435
SASHA_PETRENK,30
RUSLANVAXIDOV,46
SEMENOVADEXTSAP,240
SHERMUELLER,26
SPENDING_GOV,28
RAINYHOMIE,567
SONYANIKTO,492
SPBMISS,8
POLONSKIYY,24
PROJECTLANDY,514
SERENITYSANFOR,24
POLITOPROS,712
REALTEN_GOP,144
ROCKTHEMICRO,136
PUMPKINSHMAPKIN,992
SHIROKOVFEDOR,516
SOVETNIKSTATSKI,1996
RITA_CHERN0VA,48
SANANTOTOPNEWS,10666
RAYMAN_ANDY,7
RELIISTRT,6
SEVAKOCEV,3
ROMANGOROLOV,1750
SM_DOWNEY,52
RAUL_STON,1
RYANMAXWELL_1,3211
SACHCLOUD,10
POLYEGOLOVY,62
SASHATWEETOR,532
SERGODINCOV,8
SERSAFRONOFF,18
SINCEREPRUITT,1231
SINDYBLOSSOM,188
SERGBRIANTSEV,1881
SOLER_MCH,75
SORMUMTAZ,25
SOUTHLONESTAR2,45
SABUDAI100,127
SHAPOVALOVANKA,40
SCHULTEI2,324
SKWAD55_LABEL,276
SOBOLEV_DENISS,154
ROZHKOVGEN1,181
PROFDYSTROPHIC,480
SILLYSEXYSILLY,491
REALWATERLILYY,19
SERGAKSEN,42
SAZZONV,65
SOKOLOVADIAFLUC,243
POLITICS__2014,1221
REGIEBLACKMON,4553
RUSSIAISBEAUTY,166
SALIMSALIMSABI1,14
SCHENKMICHI,54
RICHARDMALMAL,22
SLAVINAOKSI,1255
POOREKENNA,508
RAMONASNAILS,3889
RAOULDUKETWI,540
RUSLAN_MARLIN,545
SAMANTHAWOW,11
SICCERTHANYOU,2046
SHAYLAGARRETTT,35
STANLEYPARRIS,4266
SAVECOOPER,28
SHERLYMONMONC,145
RYANAMBISHOP,49
RALLYCHARLESTON,12
SBORISOGLEBSKY,27
SCREAMYMONKEY,44041
SERGEY_027,42
POLITICS_T0DAY,23034
REINDEERDEAR,486
SABIRMUHMUH1,27
SHAKURUSUF,1
SERGEY__O,24
SMOLNYVASILIY,32
PUREDAVIE,2741
PORTER_2TYPE,103
RYANESWEENEY_E,3
STACEWATERS_,145
RISSTYTRT,851
RESISTERSUNION,307
SAMMYDIXXXON,63
SERGIO_MAESTRI,978
SEROVTRITPOEBAC,236
RUSSODECLAN,35
SAVAJENAT,6
RAREKRISTA,120
SOKOLOVALIGIDEN,222
RONALDALLLEN,57
ROSSIROSSIVIN,1246
RACHLEESTRMT,6
SHAKHOVOFFICIAL,36
ROMAROMAAN,554
RAYEWHALEN,115
SHEILA_SHH,34
RUSSILANROGOV,1391
SEATTLE_POST,30800
RIMAMUHAMMAD2,2
SHANNONGIBSONIM,93
SLAVAGOLCEV,547
RAFESAYIED,25
RODDPHILLIPS,52
RUSDUM,22
SERGEEV_TOLIK,2191
STANLEY_COX_,2355
PUBLICMOROZOV,7
SHANNYZZZZ,95
SHUMITZUYOLO,36
PRETTYLARAPLACE,6213
RBURNO_,40
SILENT_JENNA,7
RUDEMYANENKO,20
SAYHERNAME16,28
RUS_ANIS,216
SAGANOVAVALYA,505
SLAVNIKONOV,27
STASCYTR,6
RADEKESOFIA,183
SCRELETS,16
ROMAKRYGLOV,421
SALAD124,451
PRICEFORPIERCE,2825
ROMANAGAFONOVV,1948
SHAKYMILKY,464
ROSTOCKBOTE,135
SAARLANDBOTE,134
RIKASBAR,83
RUSSIA42TV,124
SCREAMIN3,376
SEANROY1984,28
SHEENA_RING,61
SARAH_GIACO,11
SEVAS_INOKENT,47
POZITIFFCHIKKA,27
RBA_NDR,5
SAFTEX,19
SPASIBOVVP,438
PONCHODRAKONCHO,495
SBELOV_,18
SHEENA_OTT,130
SIDNEY_RIV,88
ROMABULAVIN,11
SOPHIEKOLE,176
REDLANEWS,1540
RUSNEVROTIK,2405
SAMIRGOODEN,5791
SOUND4BOYZ,84
RADNIKOVAMSK,540
RAVENICHOLSON,4646
REZNIK_ELIZA,13
PUNNAYOANDRA,9
SALIMDJAMIL4211,20
RAPIRAGO,17
ROSIST_N1,148
SOKOLOSHA,512
RF_CHOICE,1412
RITA_ONE_LOVE,1304
SHERRRRLEY,929
SHAPKA_MONO,1523
SINIGOPAJUBY,118
POL_WARRIOR,87
ROBERTHORN1990,18
ROMANFURUCHEV,556
SAVYHURT,41
SOWATSOWAT,479
STARKKONSTI,119
RACHDURANT,160
RALFREIMANN8891,338
RAZVEDCHICA_,1231
ROGOVVALERON,552
RUN_N_WIN,42
SPUNTMELODY,63
PUZJA,11
SHANIA_TONEY,23
RUSKING1703,238
SEREGA0VLADIMIR,544
SLAVMIROSLAV,59
PROKOFIEVKONST,4
RYMANMURPHY,401
POLLLYPOLLLY,440
RONICK_KK,35
SPEAKOROFF405,175
ROBERTHUGHESS,100
QUISHABR,61
RICHMONDVOICE,5223
ROSSRICHRDS,13
SLAVKAAVAS,373
RANDOLPHBURRR,3276
SASHAGREECE,60
PRETTYSASHAH,134
RADSABRAD,272
STASIA_FROLOVA,517
SPECIALAFFAIR,32588
SSSOFIAANDRE,509
QUEENNARIELLE,1400
ROSIEONFLEEK,1826
ROYPRESTON1ST,150
SARAHTHHHH,42
SHILOVASANCTIMI,350
RITAPHILIPP,512
RIVKALANGE,5
SLAVASEROFF,34
RIGHTNPR,837
SOBAKIKAZINAKI,1021
QUEENOFTHEWO,3820
RANDALL_COOKE,168
ROMASHKAMSK,37
RUCONSTITUTION,21
SABIRSALIMSA,850
SCARLETTHOWAR15,129
RAPEDBYCOSBY,136
ROOMOFRUMOR,28360
RYANNCOOPERWOOD,2
SRAHSE,1101
SOSNOVSKYANNA,8
SOULSCOLLECTA,463
SSUS_PANTHER,445
REALROBERT1987,1521
ROOFMIC,7
SHURIK_NESTEROV,98
SIGERMON,770
SOSEANBEARD,5
RDUBROVSKY,509
ROSIST2014,657
SEM_VADIKK,511
RINATSABIL,35
SADIEEATONN,515
RIOGITHIEF,623
SERGGBELOV,525
ROBERT_SHANDER,84
REBEESLYSS,7
RIMA_KOROTKOVA,704
SLEVIN_324,545
SPBSASHAWOLF,536
STANLEY_SPIVEY,8
SOVASOF,657
RODYA_BEZ,50
SHERMAN_CN,47
SOUTHLONESTAR,3673
ROSCOE_RIDDLE,478
SEMENAKRILOV,9
RLOVENOSAUSE,503
PRUITT_LI,150
ROB_COWMIL,67
SANYABESSONOV,467
SOLIFAT,17
POPOVALERVERIMU,785
SERGO_YAROSH,531
POLITVLAST,498
RACHELRAY1203,60
SCTTCRSN,561
RAINBOWKRN,19
RUSEYE,23
SLAVAZAPOLSKY,15
ROBIN_MC_CALL,120
RUOPENTWIT,1027
POLITKACH,881
POWER_4LIFE,93
RIABOVGUIGUEMUL,536
ROCKITJAN,60
R_U_LIFE,144
SIENNASMM,152
SEMCHEV_RU,377
SABSABRIBA,78
SHINEPHILLIPS,160
SAIFSABIRR,151
SCARLEESTRUT,7
SHIKARNOEL,2598
SEVAGRIX,42
LACHRISTIE,1226
MISHAGERBENEV,571
MSHEATHOWENS,1122
KZUNIGA26,1
MBROWNHERE,119
LIRASTERTTRUMP,1372
MMORENOK,89
KATYAKUNST,468
LYNSRODRIGUEZ,1059
KRISTYANANN,1139
LESLIE_FAULK,9
LOGANLOGANSS,21
LUGANSKNOVOSTI,3368
MANZAL_,1646
MRMORAAN,5558
KHALEDBAKRI7,1
MARGOSAVAZH,5982
LENALOVESSPB,563
MARIALUIGI5,370
KOMAROVA6969,34
KRAVCEV_DEN,62
MARTINES_TWEETS,117
MUSAABJUVYLYN,8
MYGAPRINCE,675
LENALYO,99
MARIJALABUSHEVA,45
LAWRENCEDDDD,32
MOROZOVALIGLIBD,234
K_GAYDUKOVA,537
MEREDITHWOHL,29
MEMIZIS,2
MONIQUEX787,3
KRASILNIKOVBOR,533
KSTVENETSKIY,10
MUHSADIG,193
NASTANUFRIEVA,5
LILLYBOGGS,87
LINDDDAAAD,167
LOS_LOSOS_,90
LERONVOINIK,514
MARIAOFSTEEL,8
MMMAAAASHU,99
LILILAFIN,510
LAZER_NIKIT,156
MAKS_OSIPOV_,44
LOREENPAOLERA,107
MED_HARLEY,10741
MELISSAYESIAM,26
MERMACIE,83
KISKATALQUANTIC,242
LDM1900,18
MARIAKOKOSHKINA,11
KILLMEPLSAGAIN,508
KOLRADSKIY_ZHUK,105
LIZ_ZAL_,35
KATHYDITMAR,39
KAYROVAKAYROVA,9
KIRRANEW,483
KOMAROVAGUIPOLN,347
LLAGANPO,36
MAH_ELNAF,1
NENADOBANIT,499
KRYMEACHANIN,15
MIKAPAVILAINEN,3
KESHABORISPOL,44
LORAGREEEN,6363
MALLBOWEN,134
MATISQUAREPANTS,46
MR_CLAMPIN,3836
KRISLISOVSKAYA,14
LL0YDTHEKING,9
MARYMOZHAISKAYA,10
KIRAVERKIN,65
LEONTEVSEREGA,26
LEXXX_TH,196
LOLA_AYERS_,187
LUKAS_ROSLER,2627
KOTOVAMARYS,1193
MARRISSATRR,4902
KURZINVADIMCHIC,43
MAGICATSALY,277
MAVLANOV_KOSTYA,40
MORRGASSSTR,4
MAKS_DUNAY,37
MARIALOPTRUMP,1398
LARAPALMER23,43
LEONIDBROVKIN,501
MASCHBERG,88
MILENARUINEVA,502
LARISAPYLEVA,516
MARISHA_ZU,19
MASHAASTAHOVA,96
MIAONSEA,18
NATATURN,181
KATYHANSEN19,9
KENNYGRATHAM,40
LARVIN_AIYANNA,147
LUCASSTARBRAND,125
LENA_BERRYMAN,549
LEVA_DANILOV,3
MAHMUDRAMIMAH1,20
NAGIB_SALEH,15
KOSTYA_EVS,47
NANA_LAMA,1082
MARYCARRY92,7
MAXFRITZZ,542
NEHEMIAHX,984
LESAVELEVA,1055
MARMARSCH1,241
NASTY_GRACH,543
LENA1STURM,96
LGBTUNI,415
MARCH_FOR_TRUMP,331
MARIJAKRYLOVA,16
KATTYYGEORGE,89
KOVALEV_ROMK,37
MEMYSELFHAILEY,105
LIZAHASJUST,72
KATTY__SILVA,247
MOM_0F_TWINS,141
NATHAREID,26
KRILOV7959,427
MUSLIMS_IN_USA,781
KIMBERLEIGHLAMB,123
MARATGAFVV,14
MIKKYRURK,1662
KATYA_PAVL0VA,550
LUCKY_LEM0N,43
MARISHASERGEEVA,508
MARKMCGREGORY,601
KIRLLVIL,15
LYNDAWKING,2985
MALLORYJARED,2359
MAMA_RUSSLAND,528
MASHAEMYASHEVA,520
MIC_REEZE,61
MISHA_BYIANOV,6
MONEYFORM,3397
MWOODSLW,134
LAPINOLEGG,1035
LVIVYES,165
MOTREHA,10
KATHIEMRR,4763
LARA_KICH,63
LMARINAYS,1699
MAKS___TRAVA,94
MATEVIDENCE,1994
MIDEASTVIEW,2308
MOTHERLANDR,86
KLAUSFINKER,195
LAGONEHOE,3637
